Team,Date,Opponent,Inn,Batter,Event,Sit Before,Sit After,Best Sit,Worst Sit,Success?,1B,Fielder,Pos,Hand,F/B,Direction,Distance,Velo
LAA,5/26,Guardians,8,Tyler Freeman,1B,000 1,100 1,100 1,100 1,Yes,Nolan Schanuel,Zach Neto,SS,RH,Fore,L,Long,87.9
LAA,5/26,Guardians,9,David Fry,5-3,000 1,000 2,000 2,100 1,Yes,Nolan Schanuel,Luis Rengifo,3B,RH,Back,S,Stretch,85.5
LAA,5/28,Yankees,6,Anthony Volpe,6-3,000 1,000 2,000 2,100 1,Yes,Nolan Schanuel,Zach Neto,SS,RH,Back,S,Stretch,87.9
LAA,6/2,Mariners,4,Cal Raleigh,1B,000 0,100 0,100 0,100 0,Yes,Willie Calhoun,Luis Rengifo,3B,RH,Fore,S,Short,85.5
LAA,6/8,Astros,5,Jeremy Pena,6-3,000 1,000 2,000 2,100 1,Yes,Nolan Schanuel,Zach Neto,SS,RH,Fore,L,Short,87.9
LAA,6/27,Tigers,2,Justyn-Henry Malloy,4-3,000 2,000 3,000 3,100 2,Yes,Nolan Schanuel,Luis Rengifo,2B,RH,Fore,S,Long,78
LAA,7/3,A's,2,Zack Gelof,1B,000 1,100 1,100 1,100 1,Yes,Nolan Schanuel,Zach Neto,SS,RH,Back,S,Long,87.9
LAA,7/12,Mariners,9,Mitch Haniger,1B,000 2,100 2,100 2,100 2,Yes,Nolan Schanuel,Brandon Drury,2B,RH,Back,S,Long,76.5
LAA,8/7,Yankees,9,Carlos Narvaez,6-3,000 0,000 1,000 1,100 0,Yes,Nolan Schanuel,Zach Neto,SS,RH,Back,S,Long,87.9
LAA,8/8,Yankees,2,DJ LeMahieu,5-3,000 2,000 3,000 3,100 2,Yes,Nolan Schanuel,Anthony Rendon,3B,RH,Back,S,Short,82.5
LAA,8/10,Nationals,1,Juan Yepez,5-3,000 2,000 3,000 3,100 2,Yes,Brandon Drury,Anthony Rendon,3B,RH,Back,S,Stretch,82.5
LAA,8/16,Braves,7,Marcell Ozuna,1B,000 2,100 2,100 2,100 2,Yes,Nolan Schanuel,Michael Stefanic,2B,RH,Back,S,Long,77.7
LAA,8/19,Royals,7,Bobby Witt Jr,1B,000 0,100 0,100 0,100 0,Yes,Nolan Schanuel,Anthony Rendon,3B,RH,Back,S,Long,82.5
LAA,9/4,Dodgers,5,Miguel Rojas,5-3,100 2,000 3,000 3,011 2,Yes,Nolan Schanuel,Anthony Rendon,3B,RH,Back,S,Stretch,82.5
LAA,9/5,Rangers,5,Josh Jung,1B,000 0,100 0,100 0,100 0,No,Nolan Schanuel,Zach Neto,SS,RH,Fore,L,Stretch,87.9
LAA,9/6,Rangers,6,Wyatt Langford,1B,000 0,100 0,100 0,100 0,Yes,Nolan Schanuel,Anthony Rendon,3B,RH,Back,R,Long,82.5
LAA,9/13,Astros,7,Jeremy Pena,1B,100 2,110 2,000 3,110 2,No,Nolan Schanuel,Zach Neto,SS,RH,Back,S,Stretch,87.9
LAA,9/16,White Sox,7,Bryan Ramos,5-3,000 2,000 3,000 3,100 2,Yes,Nolan Schanuel,Eric Wagaman,3B,RH,Back,S,Stretch,84.1
LAA,9/16,White Sox,9,Jacob Amaya,1B,000 0,100 0,100 0,100 0,Yes,Nolan Schanuel,Charles LeBlanc,2B,RH,Back,S,Long,75.8
LAA,9/20,Astros,8,Alex Bregman,4-3,000 2,000 3,000 3,100 2,Yes,Nolan Schanuel,Brandon Drury,2B,RH,Back,S,Long,76.5
LAA,9/26,White Sox,2,Dominic Fletcher,6-3,000 2,000 3,000 3,100 2,Yes,Brandon Drury,Zach Neto,SS,RH,Back,S,Short,87.9
LAD,3/28,Cardinals,5,Victor Scott II,E6,000 1,100 1,000 2,100 1,No,Freddie Freeman,Mookie Betts,SS,RH,Fore,L,Stretch,78.3
LAD,3/29,Cardinals,5,Jordan Walker,5-3,000 2,000 3,000 3,100 2,Yes,Freddie Freeman,Max Muncy,3B,RH,Fore,L,Stretch,84.1
LAD,3/30,Cardinals,4,Nolan Arenado,6-3,000 2,000 3,000 3,100 2,Yes,Freddie Freeman,Mookie Betts,SS,RH,Back,S,Long,78.3
LAD,4/2,Giants,6,Thairo Estrada,5-4 FC,101 0,100 1 +1,100 1 +1,010 1 +1,Yes,Freddie Freeman,Gavin Lux,2B,RH,Back,S,Long,75
LAD,4/2,Giants,6,Michael Conforto,1B,000 0,100 0,100 0,100 0,Yes,Freddie Freeman,Max Muncy,3B,RH,Back,R,Long,84.1
LAD,4/5,Cubs,7,Christopher Morel,5-3,000 0,000 1,000 1,100 0,Yes,Freddie Freeman,Max Muncy,3B,RH,Back,S,Short,84.1
LAD,4/5,Cubs,8,Yan Gomes,6-3,000 1,000 2,000 2,100 1,Yes,Freddie Freeman,Mookie Betts,SS,RH,Fore,S,Stretch,78.3
LAD,4/7,Cubs,4,Christopher Morel,E5,011 1,101 1 +1,001 2 +1,101 1 +1,No,Freddie Freeman,Miguel Rojas,3B,RH,Fore,S,Stretch,84
LAD,4/8,Twins,5,Carlos Santana,4-3,000 0,000 1,000 1,100 0,Yes,Freddie Freeman,Gavin Lux,2B,RH,Fore,S,Long,75
LAD,4/13,Padres,9,Ha-Seong Kim,4-6 FC,100 1,100 2,100 2,010 2,Yes,Freddie Freeman,Mookie Betts,SS,RH,Back,R,Short,78.3
LAD,4/14,Padres,6,Jackson Merrill,1B E6,001 2,010 2 +1,000 3,010 2 +1,No,Freddie Freeman,Mookie Betts,SS,RH,Fore,L,Long,78.3
LAD,4/16,Nationals,3,Jacob Young,1B,000 0,100 0,100 0,100 0,Yes,Freddie Freeman,Mookie Betts,SS,RH,Fore,S,Long,78.3
LAD,4/17,Nationals,3,Luis Garcia Jr,6-3,000 2,000 3,000 3,100 2,Yes,Freddie Freeman,Mookie Betts,SS,RH,Back,S,Long,78.3
LAD,4/17,Nationals,7,Nick Senzel,6-3,000 0,000 1,000 1,100 0,Yes,Freddie Freeman,Mookie Betts,SS,RH,Fore,L,Short,78.3
LAD,4/19,Mets,7,Starling Marte,E6,000 1,100 1,000 2,100 1,No,Freddie Freeman,Mookie Betts,SS,RH,Back,R,Short,78.3
